identifier	name	link
08690	3-methylgallic acid 5-glucuronide	https://bioregistry.io/fobi:08690
07524	wholemeal bread	https://bioregistry.io/fobi:07524
08688	4'-methylepicatechin 7-sulfate	https://bioregistry.io/fobi:08688
08691	4-methylgallic acid 3-glucuronide	https://bioregistry.io/fobi:08691
08815	3,5-dihydroxycinnamic acid glucuronide	https://bioregistry.io/fobi:08815
07527	diet coke	https://bioregistry.io/fobi:07527
08650	epicatechin 5-glucuronide	https://bioregistry.io/fobi:08650
0018	Unfermented milk products	https://bioregistry.io/fobi:0018
08709	urolithin a 8-sulfate	https://bioregistry.io/fobi:08709
08568	3'-methylepicatechin 4'-glucuronide	https://bioregistry.io/fobi:08568
0099	Fat vegetables	https://bioregistry.io/fobi:0099
07522	crisp	https://bioregistry.io/fobi:07522
08679	3-(3-hydroxyphenyl)propionic acid glucuronide	https://bioregistry.io/fobi:08679
0021	Fermented alcohols	https://bioregistry.io/fobi:0021
08808	3,4-dihydroxyphenylvaleric acid 3 sulfate	https://bioregistry.io/fobi:08808
08677	hesperetin 3'-sulfate	https://bioregistry.io/fobi:08677
08687	4'-methylepicatechin 5-sulfate	https://bioregistry.io/fobi:08687
08673	2,3-dihydroxybenzoic acid 3-sulfate	https://bioregistry.io/fobi:08673
07511	whole toast	https://bioregistry.io/fobi:07511
08655	epicatechin 3-sulfate	https://bioregistry.io/fobi:08655
08819	valine betaine	https://bioregistry.io/fobi:08819
08669	2,4-dihydroxybenzoic acid 2-glucuronide	https://bioregistry.io/fobi:08669
08664	5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-sulfate	https://bioregistry.io/fobi:08664
08812	3,5-dihydroxyphenylvaleric acid glucuronide	https://bioregistry.io/fobi:08812
08569	3'-methylepicatechin 5-glucuronide	https://bioregistry.io/fobi:08569
08707	urolithin a 8-glucuronide	https://bioregistry.io/fobi:08707
08700	2-methylpyrogallol 1-sulfate	https://bioregistry.io/fobi:08700
08651	epicatechin 7-glucuronide	https://bioregistry.io/fobi:08651
07505	Pepsi	https://bioregistry.io/fobi:07505
08644	4'-methylepicatechin 5-glucuronide	https://bioregistry.io/fobi:08644
08678	hesperetin 5-sulfate	https://bioregistry.io/fobi:08678
08703	naringenin 4'-sulfate	https://bioregistry.io/fobi:08703
08660	3,4-dihydroxyphenylacetic acid 3-glucuronide	https://bioregistry.io/fobi:08660
0148	wholegrain	https://bioregistry.io/fobi:0148
07518	pint	https://bioregistry.io/fobi:07518
0142	cereal	https://bioregistry.io/fobi:0142
08821	pipecolic acid betaine	https://bioregistry.io/fobi:08821
08706	urolithin a 3-glucuronide	https://bioregistry.io/fobi:08706
08674	2,4-dihydroxybenzoic acid 4-sulfate	https://bioregistry.io/fobi:08674
08567	3'-methylcatechin 5-glucuronide	https://bioregistry.io/fobi:08567
08658	epicatechin 5-sulfate	https://bioregistry.io/fobi:08658
